nodenumber     x-coordinate     y-coordinate   axial-velocity  radial-velocity 
       189  2.208448970E+00  2.001099155E-02  3.839387846E-01 -5.679413179E-09 
       190  2.133866516E+00  2.001084839E-02  3.839417752E-01  1.996835047E-08 
       191  2.059284063E+00  2.001070522E-02  3.839392682E-01  1.715904115E-09 
       192  1.984701609E+00  2.001056206E-02  3.839414248E-01  2.579810084E-08 
       193  1.910119156E+00  2.001041889E-02  3.839397250E-01  6.928842426E-09 
       194  1.835536702E+00  2.001027573E-02  3.839411393E-01  2.726550690E-08 
       195  1.760954248E+00  2.001013257E-02  3.839401195E-01  9.000019275E-09 
       196  1.686371795E+00  2.000998940E-02  3.839409244E-01  2.674869234E-08 
       197  1.611789341E+00  2.000984624E-02  3.839404664E-01  1.078577453E-08 
       198  1.537206887E+00  2.000970307E-02  3.839407150E-01  2.702028213E-08 
       199  1.462624434E+00  2.000955991E-02  3.839407988E-01  1.145629593E-08 
       200  1.388041980E+00  2.000941675E-02  3.839405328E-01  2.912433416E-08 
       201  1.313459526E+00  2.000927358E-02  3.839411400E-01  1.293184950E-08 
       202  1.238877073E+00  2.000913042E-02  3.839403051E-01  3.105541318E-08 
       203  1.164294619E+00  2.000898725E-02  3.839415245E-01  1.206560975E-08 
       204  1.089712165E+00  2.000884409E-02  3.839400627E-01  3.195587294E-08 
       205  1.015129712E+00  2.000870093E-02  3.839419624E-01  1.124003240E-08 
       206  9.405472579E-01  2.000855776E-02  3.839397226E-01  3.001668964E-08 
       207  8.659648042E-01  2.000841460E-02  3.839424501E-01  1.474146881E-08 
       208  0.000000000E+00  1.334088832E-02  2.000000000E-01  0.000000000E+00 
       209  0.000000000E+00  6.675024284E-03  2.000000000E-01  0.000000000E+00 
       210  7.913823505E-01  2.000827144E-02  3.839393849E-01  2.811879335E-08 
       211  3.000000000E+00  2.001251096E-02  3.733190796E-01  5.989362499E-04 
       212  7.167998967E-01  2.000812827E-02  3.839432760E-01  1.359666512E-07 
       213  6.422174430E-01  2.000798511E-02  3.839406726E-01  2.585166052E-07 
       214  5.676349892E-01  2.000784194E-02  3.839474915E-01  1.250811435E-06 
       215  4.930525354E-01  2.000769878E-02  3.839450688E-01 -1.339491348E-07 
       216  4.184700816E-01  2.000755562E-02  3.838882250E-01 -9.292950423E-06 
       217  3.459750250E-01  2.000741646E-02  3.835583304E-01 -9.278870866E-05 
       218  2.793151541E-01  2.000728850E-02  3.820650943E-01 -4.379249963E-04 
       219  2.240581794E-01  2.000718243E-02  3.773277294E-01 -1.527170996E-03 
       220  1.787593389E-01  2.000709548E-02  3.665982252E-01 -3.766568939E-03 
       221  1.416240770E-01  2.000702420E-02  3.480849352E-01 -7.027513416E-03 
       222  1.111818918E-01  2.000696576E-02  3.227081426E-01 -1.053395502E-02 
       223  8.622727475E-02  2.000691786E-02  2.939507553E-01 -1.319232868E-02 
       224  6.577133117E-02  2.000687860E-02  2.662277663E-01 -1.427349226E-02 
       225  4.900473471E-02  2.000684641E-02  2.427865108E-01 -1.368956623E-02 
       226  3.525967575E-02  2.000682003E-02  2.250364168E-01 -1.181477024E-02 
       227  2.399193070E-02  2.000679840E-02  2.129117373E-01 -9.167959439E-03 
       228  1.476323905E-02  2.000678069E-02  2.056011357E-01 -6.205833386E-03 
       229  7.072862753E-03  2.000676592E-02  2.018091055E-01 -3.195493643E-03 
       230  2.985191536E+00  2.667834657E-02  3.719962064E-01  8.268686250E-04 
       231  2.992883420E+00  2.667836133E-02  3.714792000E-01  7.969533275E-04 
       232  2.975985038E+00  2.667832890E-02  3.725321366E-01  8.625819565E-04 
       233  2.964712441E+00  2.667830726E-02  3.732485687E-01  8.931016208E-04 
       234  2.950962114E+00  2.667828086E-02  3.741275613E-01  9.004378304E-04 
       235  2.934188922E+00  2.667824867E-02  3.751847708E-01  8.679516448E-04 
       236  2.913724691E+00  2.667820938E-02  3.763803110E-01  7.837711760E-04 
       237  2.888760080E+00  2.667816146E-02  3.776330586E-01  6.490673179E-04 
       238  2.858305462E+00  2.667810300E-02  3.788288961E-01  4.809297311E-04 
       239  2.821155129E+00  2.667803169E-02  3.798323507E-01  3.102338417E-04 
       240  2.775837901E+00  2.667794471E-02  3.805643804E-01  1.689324806E-04 
       241  2.720558388E+00  2.667783859E-02  3.810095207E-01  7.612592870E-05 
       242  2.653876758E+00  2.667771060E-02  3.812286814E-01  2.801315326E-05 
       243  2.581372939E+00  2.667757142E-02  3.813248427E-01  8.323549279E-06 
       244  2.506790704E+00  2.667742826E-02  3.813512250E-01  2.318819252E-06 
       245  2.432208469E+00  2.667728510E-02  3.813623111E-01  2.424047360E-07 
       246  2.357626234E+00  2.667714193E-02  3.813587772E-01  1.230754867E-08 
       247  2.283043999E+00  2.667699877E-02  3.813627206E-01 -3.102054501E-08 
       248  2.208461764E+00  2.667685560E-02  3.813591661E-01 -1.948678579E-08 
       249  2.133879529E+00  2.667671244E-02  3.813621729E-01  1.930713898E-08 
       250  2.059297294E+00  2.667656928E-02  3.813596892E-01 -1.180101829E-08 
       251  1.984715059E+00  2.667642611E-02  3.813618615E-01  2.305381604E-08 
       252  1.910132824E+00  2.667628295E-02  3.813601829E-01 -7.575803400E-09 
       253  1.835550589E+00  2.667613979E-02  3.813616127E-01  2.139343206E-08 
       254  1.760968354E+00  2.667599662E-02  3.813606136E-01 -7.022244031E-09 
       255  1.686386119E+00  2.667585346E-02  3.813614359E-01  1.889380879E-08 
       256  1.611803884E+00  2.667571030E-02  3.813609975E-01 -5.431690480E-09 
       257  1.537221649E+00  2.667556713E-02  3.813612643E-01  1.764978943E-08 
       258  1.462639414E+00  2.667542397E-02  3.813613676E-01 -6.011587918E-09 
       259  1.388057179E+00  2.667528081E-02  3.813611210E-01  1.900266209E-08 
       260  1.313474944E+00  2.667513764E-02  3.813617455E-01 -5.075702100E-09 
       261  1.238892709E+00  2.667499448E-02  3.813609298E-01  2.223673575E-08 
       262  1.164310474E+00  2.667485132E-02  3.813621661E-01 -6.935279313E-09 
       263  1.089728239E+00  2.667470815E-02  3.813607250E-01  2.328995946E-08 
       264  1.015146003E+00  2.667456499E-02  3.813626407E-01 -8.918961736E-09 
       265  9.405637683E-01  2.667442183E-02  3.813604219E-01  1.956844526E-08 
       266  8.659815332E-01  2.667427866E-02  3.813631671E-01 -6.522610802E-09 
       267  0.000000000E+00  2.000675235E-02  2.000000000E-01  0.000000000E+00 
       268  7.913992980E-01  2.667413550E-02  3.813601176E-01  1.368232401E-08 
       269  3.000000000E+00  2.667837499E-02  3.711847792E-01  7.838622432E-04 
       270  7.168170628E-01  2.667399234E-02  3.813640268E-01  1.486011565E-07 
       271  6.422348277E-01  2.667384917E-02  3.813613588E-01  3.234991015E-07 
       272  5.676525925E-01  2.667370601E-02  3.813682412E-01  1.673914803E-06 
       273  4.930703573E-01  2.667356285E-02  3.813657722E-01  2.064957443E-07 
       274  4.184881221E-01  2.667341968E-02  3.813137892E-01 -1.121233616E-05 
       275  3.459922382E-01  2.667328052E-02  3.809965947E-01 -1.221613463E-04 
       276  2.793299879E-01  2.667315256E-02  3.795781705E-01 -5.732949473E-04 
       277  2.240704918E-01  2.667304649E-02  3.750519120E-01 -1.994201557E-03 
       278  1.787695615E-01  2.667295953E-02  3.647181768E-01 -4.936017360E-03 
       279  1.416325667E-01  2.667288825E-02  3.467745182E-01 -9.245156339E-03 
       280  1.111889389E-01  2.667282981E-02  3.220009935E-01 -1.390817342E-02 
       281  8.623313464E-02  2.667278191E-02  2.937193352E-01 -1.748103285E-02 
       282  6.577620356E-02  2.667274264E-02  2.662708012E-01 -1.897419121E-02 
       283  4.900879627E-02  2.667271045E-02  2.429236075E-01 -1.824629685E-02 
       284  3.526306974E-02  2.667268407E-02  2.251683617E-01 -1.577921774E-02 
       285  2.399475020E-02  2.667266244E-02  2.129998071E-01 -1.226018356E-02 
       286  1.476560959E-02  2.667264472E-02  2.056468105E-01 -8.306838190E-03 
       287  7.075045815E-03  2.667262996E-02  2.018247823E-01 -4.280665750E-03 
       288  2.985193604E+00  3.334421060E-02  3.691802390E-01  1.008412589E-03 
       289  2.992885378E+00  3.334422537E-02  3.686886202E-01  9.720879420E-04 
       290  2.975986352E+00  3.334419293E-02  3.696884610E-01  1.051375429E-03 
       291  2.964714072E+00  3.334417129E-02  3.703680866E-01  1.087889357E-03 
       292  2.950964113E+00  3.334414490E-02  3.712006342E-01  1.096164882E-03 
       293  2.934191386E+00  3.334411270E-02  3.722007390E-01  1.055917950E-03 
       294  2.913727747E+00  3.334407342E-02  3.733306209E-01  9.529117134E-04 
       295  2.888763867E+00  3.334402550E-02  3.745132492E-01  7.889025695E-04 
       296  2.858310169E+00  3.334396704E-02  3.756414290E-01  5.843079256E-04 
       297  2.821160979E+00  3.334389574E-02  3.765870722E-01  3.768358024E-04 
       298  2.775845171E+00  3.334380875E-02  3.772764254E-01  2.052079849E-04 
       299  2.720567430E+00  3.334370264E-02  3.776947993E-01  9.235500048E-05 
       300  2.653887584E+00  3.334357465E-02  3.779001312E-01  3.393484220E-05 
       301  2.581384641E+00  3.334343548E-02  3.779907675E-01  1.011165538E-05 
       302  2.506802625E+00  3.334329231E-02  3.780153083E-01  2.762215821E-06 
       303  2.432220608E+00  3.334314915E-02  3.780260186E-01  2.760858477E-07 
       304  2.357638592E+00  3.334300599E-02  3.780223828E-01 -2.153411488E-09 
       305  2.283056575E+00  3.334286282E-02  3.780263464E-01 -4.207610306E-08 
       306  2.208474559E+00  3.334271966E-02  3.780228148E-01 -3.176465525E-08 
       307  2.133892543E+00  3.334257650E-02  3.780258368E-01  1.954793225E-08 
       308  2.059310526E+00  3.334243333E-02  3.780233776E-01 -2.174073794E-08 
       309  1.984728510E+00  3.334229017E-02  3.780255643E-01  2.403846126E-08 
       310  1.910146493E+00  3.334214701E-02  3.780239076E-01 -1.615559753E-08 
       311  1.835564477E+00  3.334200385E-02  3.780253517E-01  2.194980967E-08 
       312  1.760982460E+00  3.334186068E-02  3.780243738E-01 -1.527052658E-08 
       313  1.686400444E+00  3.334171752E-02  3.780252129E-01  1.851155386E-08 
       314  1.611818427E+00  3.334157436E-02  3.780247939E-01 -1.335718756E-08 
       315  1.537236411E+00  3.334143119E-02  3.780250787E-01  1.696953984E-08 
       316  1.462654394E+00  3.334128803E-02  3.780252013E-01 -1.426811789E-08 
       317  1.388072378E+00  3.334114487E-02  3.780249740E-01  1.850938790E-08 
       318  1.313490361E+00  3.334100170E-02  3.780256155E-01 -1.262736741E-08 
       319  1.238908345E+00  3.334085854E-02  3.780248190E-01  2.244186520E-08 
       320  1.164326328E+00  3.334071538E-02  3.780260713E-01 -1.543357431E-08 
       321  1.089744312E+00  3.334057221E-02  3.780246514E-01  2.382356303E-08 
       322  1.015162295E+00  3.334042905E-02  3.780265820E-01 -1.792969371E-08 
       323  9.405802787E-01  3.334028589E-02  3.780243850E-01  1.939884499E-08 
       324  8.659982621E-01  3.334014273E-02  3.780271472E-01 -1.540006290E-08 
       325  0.000000000E+00  2.667261638E-02  2.000000000E-01  0.000000000E+00 
       326  7.914162456E-01  3.333999956E-02  3.780241130E-01  1.196994651E-08 
       327  3.000000000E+00  3.334423902E-02  3.684078291E-01  9.560206733E-04 
       328  7.168342290E-01  3.333985640E-02  3.780280381E-01  1.711050257E-07 
       329  6.422522124E-01  3.333971324E-02  3.780252837E-01  3.950884693E-07 
       330  5.676701958E-01  3.333957007E-02  3.780322145E-01  2.046460420E-06 
       331  4.930881791E-01  3.333942691E-02  3.780296106E-01  6.024869237E-07 
       332  4.185061625E-01  3.333928375E-02  3.779837006E-01 -1.296384968E-05 
       333  3.460094514E-01  3.333914459E-02  3.776832633E-01 -1.447365722E-04 
       334  2.793448217E-01  3.333901662E-02  3.763562207E-01 -7.034381166E-04 
       335  2.240828041E-01  3.333891054E-02  3.720931636E-01 -2.428639015E-03 
       336  1.787797842E-01  3.333882358E-02  3.622614822E-01 -6.026226856E-03 
       337  1.416410565E-01  3.333875229E-02  3.450440887E-01 -1.135063133E-02 
       338  1.111959860E-01  3.333869385E-02  3.210504339E-01 -1.715801977E-02 
       339  8.623899454E-02  3.333864595E-02  2.933927220E-01 -2.166696809E-02 
       340  6.578107596E-02  3.333860668E-02  2.663100498E-01 -2.361657784E-02 
       341  4.901285782E-02  3.333857449E-02  2.430930941E-01 -2.278764968E-02 
       342  3.526646373E-02  3.333854810E-02  2.253372355E-01 -1.975462361E-02 
